latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),wind_direction_10m (°)
2022-01-01T00:00,12.0,88,0.10,24.6,265
2022-01-01T01:00,12.0,87,0.10,24.2,266
2022-01-01T02:00,12.1,87,0.10,24.2,274
2022-01-01T03:00,12.0,87,0.00,23.6,277
2022-01-01T04:00,11.9,87,0.00,21.6,271
2022-01-01T05:00,11.8,87,0.00,23.4,269
2022-01-01T06:00,11.8,83,0.00,21.6,270
2022-01-01T07:00,11.5,85,0.00,21.6,267
2022-01-01T08:00,11.5,85,0.00,20.9,267
2022-01-01T09:00,11.5,86,0.00,20.7,262
2022-01-01T10:00,11.7,85,0.00,19.4,269
2022-01-01T11:00,11.9,85,0.00,19.5,273
2022-01-01T12:00,11.9,83,0.00,18.4,281
2022-01-01T13:00,11.6,85,0.00,13.4,275
2022-01-01T14:00,11.5,86,0.00,11.4,257
2022-01-01T15:00,11.3,88,0.00,11.3,239
2022-01-01T16:00,11.1,88,0.00,9.7,243
2022-01-01T17:00,10.7,89,0.00,8.4,220
2022-01-01T18:00,10.5,90,0.00,8.4,223
2022-01-01T19:00,10.8,89,0.00,8.5,208
2022-01-01T20:00,10.9,87,0.00,10.5,207
2022-01-01T21:00,10.8,86,0.00,10.6,198
2022-01-01T22:00,10.5,87,0.00,12.2,194
2022-01-01T23:00,10.2,89,0.10,14.4,193
2022-01-02T00:00,10.1,87,0.10,14.9,200
2022-01-02T01:00,9.9,85,0.00,16.0,188
2022-01-02T02:00,9.8,84,0.00,15.7,189
2022-01-02T03:00,9.4,85,0.00,14.6,200
2022-01-02T04:00,9.1,87,0.00,14.6,196
2022-01-02T05:00,8.9,88,0.00,14.0,215
2022-01-02T06:00,8.4,90,0.00,11.3,207
2022-01-02T07:00,8.6,88,0.00,13.2,206
2022-01-02T08:00,8.7,86,0.00,12.1,197
2022-01-02T09:00,10.0,80,0.00,16.8,225
2022-01-02T10:00,10.5,79,0.00,15.6,214
2022-01-02T11:00,10.8,79,0.00,16.4,206
2022-01-02T12:00,10.8,84,0.00,16.6,210
2022-01-02T13:00,11.4,79,0.00,23.0,212
2022-01-02T14:00,11.5,75,0.10,23.9,214
2022-01-02T15:00,12.0,68,0.00,25.5,230
2022-01-02T16:00,11.3,69,0.00,25.2,236
2022-01-02T17:00,12.0,67,0.00,26.9,244
2022-01-02T18:00,11.8,70,0.00,27.6,250
2022-01-02T19:00,11.0,75,0.00,29.0,253
2022-01-02T20:00,11.1,76,0.10,26.2,262
2022-01-02T21:00,10.7,78,0.00,23.7,260
2022-01-02T22:00,10.2,82,0.00,21.1,253
2022-01-02T23:00,9.8,85,0.20,19.4,248
2022-01-03T00:00,9.7,84,0.30,16.3,235
2022-01-03T01:00,9.5,87,1.10,22.5,235
2022-01-03T02:00,9.5,86,1.50,20.4,222
2022-01-03T03:00,9.7,82,0.30,25.7,255
2022-01-03T04:00,9.5,79,0.30,33.2,250
2022-01-03T05:00,9.2,80,0.70,37.8,269
2022-01-03T06:00,8.7,84,1.20,27.8,280
2022-01-03T07:00,9.1,76,0.20,29.2,273
2022-01-03T08:00,8.9,76,0.10,26.0,265
2022-01-03T09:00,9.1,75,0.10,24.4,261
2022-01-03T10:00,9.2,73,0.00,25.1,258
2022-01-03T11:00,9.3,72,0.10,24.6,259
2022-01-03T12:00,10.0,69,0.00,25.0,258
2022-01-03T13:00,9.9,70,0.10,25.5,254
2022-01-03T14:00,9.3,75,0.20,25.0,247
2022-01-03T15:00,9.5,72,0.10,23.6,249
2022-01-03T16:00,8.9,74,0.00,21.5,247
2022-01-03T17:00,8.7,73,0.00,20.2,248
2022-01-03T18:00,8.4,74,0.00,20.0,240
2022-01-03T19:00,8.3,75,0.00,21.3,240
2022-01-03T20:00,8.0,78,0.00,19.8,243
2022-01-03T21:00,8.0,78,0.00,20.1,243
2022-01-03T22:00,8.8,68,0.00,21.2,249
2022-01-03T23:00,8.4,72,0.00,16.6,236
2022-01-04T00:00,8.0,77,0.00,15.3,223
2022-01-04T01:00,7.7,81,0.00,15.3,223
2022-01-04T02:00,7.3,86,0.00,13.8,221
2022-01-04T03:00,7.3,87,0.00,14.3,221
2022-01-04T04:00,7.4,82,0.00,13.0,224
2022-01-04T05:00,7.0,85,0.00,10.5,211
2022-01-04T06:00,6.8,91,0.00,10.4,200
2022-01-04T07:00,6.8,90,0.00,10.0,210
2022-01-04T08:00,6.8,87,0.00,9.5,209
2022-01-04T09:00,7.0,85,0.00,10.1,215
2022-01-04T10:00,7.2,85,0.00,10.3,209
2022-01-04T11:00,7.2,89,0.00,9.2,219
2022-01-04T12:00,7.3,90,0.20,8.7,228
2022-01-04T13:00,7.7,81,0.10,11.4,246
2022-01-04T14:00,7.7,75,0.00,12.8,260
2022-01-04T15:00,7.4,76,0.00,14.7,253
2022-01-04T16:00,7.2,80,0.00,17.2,250
2022-01-04T17:00,6.9,80,0.00,18.1,249
2022-01-04T18:00,6.8,83,0.00,18.3,254
2022-01-04T19:00,7.1,83,0.00,17.7,258
2022-01-04T20:00,6.5,87,0.40,16.9,282
2022-01-04T21:00,6.0,80,0.20,15.8,282
2022-01-04T22:00,5.0,84,0.00,13.8,276
2022-01-04T23:00,4.6,83,0.00,11.5,272
2022-01-05T00:00,4.4,84,0.00,12.3,265
2022-01-05T01:00,4.3,83,0.00,12.0,261
2022-01-05T02:00,4.1,82,0.00,12.5,258
2022-01-05T03:00,4.2,79,0.00,12.1,258
2022-01-05T04:00,4.0,78,0.00,12.7,262
2022-01-05T05:00,3.8,77,0.00,14.6,260
2022-01-05T06:00,3.7,77,0.00,16.4,255
2022-01-05T07:00,3.6,76,0.00,17.8,256
2022-01-05T08:00,3.5,74,0.00,20.4,253
2022-01-05T09:00,3.7,70,0.00,23.5,249
